id	title	text
10		"Patient-Led Advocacy Group Shares Patient Perspective
Organización doméstica: Se refieren al establecimiento de reglas, hábitos y responsabilidades que ayuden a mantener un ambiente familiar. Disciplina positiva: Entendida como método de crianza. Las frases que repetimos a los niños una y otra vez durante la infancia se quedan grabadas en su cerebro como circuitos que se activan una y otra vez durante su adolescencia y adultez. Dicha forma de hablarles se convierte en su voz interior, lo que él piensa de sí mismo, lo que cree que es como persona. Los niños merecen nuestro respeto y cuidado y por eso, debemos ser capaces de decir “no” de una forma positiva que no lastime su autoestima. Educar en positivo ayuda a crecer con una mejor autoestima. Apego: Visto como un proceso relacional. Para mantenerlo, se requiere la disposición por parte del papá y/o mamá para comprender la conducta y emociones de su pequeño. Entre sus beneficios se encuentran: Tendencia a la exploración y al aprendizaje, confianza y autonomía, seguridad y confianza social, mayor capacidad de regulación emocional, mejora patrones de sueño, produce sentimientos de pertenencia. Inteligencia emocional: El ejercicio de la parentalidad requiere inteligencia emocional implica la capacidad de reconocer las emociones propias, para poder discriminar en qué registro emocional se está funcionando, así como el poder aceptar las emociones como naturales para canalizar constructivamente mediante comportamientos y discursos que las tranquilicen. A través de la forma en que los papás gestionar sus propios sentimientos y emociones, los niños aprender a entender, validad y expresar las suyas. Empatía: Es la capacidad de comprender las emociones ajenas y el poder de responder en consonancia con estos sentimientos. Manejo de las propias emociones e impulsos para enviar un mensaje de comprensión y de reconocimiento, de legitimidad del otro. A través de la repetición de momentos de sincronía emocional, el niño desarrollara la sensación de que los demás pueden y quieren compartir sus"
11		"Patient-Led Advocacy Group Shares Patient Perspective
mensaje de comprensión y de reconocimiento, de legitimidad del otro. A través de la repetición de momentos de sincronía emocional, el niño desarrollara la sensación de que los demás pueden y quieren compartir sus emociones y sentimientos. Abrazos: Una de las tantas muestras de amor. Estos causan mayores beneficios cuando son dados de manera sorpresiva: sin esperar una fecha especial para ello. Requieren estar en la rutina permanente de cada papá y mamá por sus beneficios operan de modo recíproco: Fortalecen el sistema inmune, relaja los músculos, disminuye la presión arterial, libera la tensión, estimula la oxigenación (rejuvenece), eleva la serotonina favoreciendo tu felicidad, incrementa la confianza."
12		"Patient-Led Advocacy Group Shares Patient Perspective
Papá e hijos conectan emocionalmente de manera más profunda, fortaleciendo su relación. Se impulsan emociones agradables para ambos, fortaleciendo los circuitos neuronales del bienestar. Los niños aprenden a establecer límites físicos y tomar riesgos de manera segura, haciendo incluso que sea menos probable que se lastimen en otros tipos de juegos. Por lo tanto, el juego (rudo o juegos de mesa) es otra expresión que tiene el papá para hacerle saber a su hijo que es amado.  
Por último, una madre o un padre suficientemente buena: no es la que da todo al niño. Es quien identifica las necesidades del niño, quien le sirve de apoyo, es quien da, pero también frustra un poco para que el niño se esfuerce. Aceptarse por no ser la madre o el padre que pensabas que serias y disfrutar de la madre y el padre que eres ahora.  
Los especialistas que atendemos a los padres, no buscamos juzgarlos por la forma en que han llevado su paternidad. Estamos para comprender sus circunstancias, que los ha llevado a ejercer su rol de determinada manera porque a partir de ello, podremos ubicar, juntos, las competencias que han venido desarrollando y que les han brindado muchas satisfacciones en sus hijos y a partir de estas, aprender, desaprender o reaprender otras tantas que los hagan sentirse más satisfechos con su parentalidad.  
Han, 2012, p. 27  
""En este mundo de la positividad solo se admiten cosas que pueden consumirse"""
13		"Patient-Led Advocacy Group Shares Patient Perspective
Han, 2012, p. 27  
""En este mundo de la positividad solo se admiten cosas que pueden consumirse""  
¿Por qué preocupa tanto si nos vemos bien en la selfie que nos tomamos? ¿Por qué es tan importante publicar una foto o una historia en redes sociales de lo que se hizo en el día? ¿Por qué se nos pueden pasar horas de la vida viendo tik toks? ¿Por qué cuando no se tiene el celular en la mano, se siente como si faltara algo? ¿Por qué si hoy en día se cuentan con más vías de comunicación, resulta tan difícil poder decir lo que se siente? ¿Por qué cuando se llega a un lugar y se saluda, la mayoría de la gente ya no responde? ¿Por qué se lleva por bandera la ansiedad al interactuar con los otros? ¿Por qué si hoy en día se quiere ligar, es más factible pedir las redes sociales en lugar del número telefónico? ¿Por qué si se tiene el internet como herramienta, resulta tan tedioso investigar o estudiar algo? ¿Por qué cuesta tanto trabajo tener constancia en una actividad? ¿Por qué si ahora existe el home office, la gente se siente más aislada que tranquila? ¿Por qué si pareciera que tenemos todo para poder, aún así, no podemos? …  
La historia de la humanidad se divide en épocas. Las épocas son periodos de tiempo que marcan un antes y un después en la sociedad. Con la masificación de la tecnología, con los aparatos inteligentes, con las redes de internet gratuitas a lo largo del país y del mundo, con la inteligencia artificial, con las redes sociales como la nueva forma de comunicación y con esta inmediatez que hoy en día existe para creer que se puede “tener o hacer todo” de manera fácil y rápida, se dio inicio a la posmodernidad."
14		"Patient-Led Advocacy Group Shares Patient Perspective
La posmodernidad entendida en un aproximado desde 1970 a la fecha, es un movimiento social y cultural que se caracteriza por la fantasía de creer que hoy en día, nada falta. Esto a su vez, ha generado nuevos lazos sociales, nuevas enfermedades y nuevas maneras de pensar y de comunicarnos.  
Las personas se han vuelto objetos consumibles.  
Si el otro cumple con las expectativas de aquello que se cree que se busca, entonces puede despertar el interés y el deseo en los demás, pero si en algún momento falla, se le desecha con su cualidad de ser “reemplazable”. En la actualidad, la valía del ser humano radica en aquello que tiene para ofrecer. Se elige a aquel que se cree puede proveer de más, de más experiencias, de más economía, de más consejos, de más diversión, de más amistad, de más amor."
15		"Patient-Led Advocacy Group Shares Patient Perspective
Entonces, ¿por qué si ahora existen los lenguajes del amor, aún así hay tantos problemas de comunicación en la pareja?, ¿Por qué si existen los fármacos para controlar los niveles de ansiedad y depresión, aún así la gente se sigue sintiendo mal? ¿Por qué habiendo ya tantas carreras por estudiar, tantas actividades artísticas a desarrollar o tantos estilos de vida, aún así, no se sabe qué elegir? ¿Por qué si estamos en la época de la aceptación de todo aquello que rodea la vida, la idea de pensarse en un lugar lleno de gente y sentirse juzgado, genera fobia? ¿Por qué si hoy en día “está bien estar mal”, “está bien no poder con todo” “está bien ser egoísta y ponerte como prioridad”, “está bien ver por tu salud mental y cortar lazos”, la soledad se siente más que nunca? La subjetividad se ha ido difuminando poco a poco. La infancia se está perdiendo, los niños de la posmodernidad saben más de tecnología que de cuentos fantasiosos o de superhéroes. Las mujeres están cansadas de los estereotipos pero ahora tienen que poder ser todo a la vez: mamás, bloggers y emprendedoras independientes que van al gimnasio. Los hombres están adaptándose a la igualdad de género pero ahora no saben cómo hablarle a las mujeres sin tener el temor de hacerlas sentir acosadas o invalidadas.  
El escrito tiene por objetivo plantear y reflexionar las nuevas maneras de relacionarnos como sociedad y con aquellos que son allegados a nosotros, de dónde vienen estos nuevos lazos sociales y cuáles son sus funciones y preguntarnos, ¿qué es lo que se ha perdido a partir de esto?, ¿cuál es hoy en día, nuestro lugar en el mundo que habitamos?  
¿Quiénes son los fundadores de la disciplina positiva?"
16		"Patient-Led Advocacy Group Shares Patient Perspective
¿Quiénes son los fundadores de la disciplina positiva?  
En 1920, Alfred Adler, médico y psicoterapeuta austríaco, introdujo por primera vez la idea de la educación para madres y padres. Abogó por un trato respetuoso hacia la infancia y también argumentó que los niños y las niñas que no tenían límites o estaban sobre protegidos podrían tener problemas sociales y de comportamiento. Adler y su discípulo Rudolf Dreikurs apostaron por un enfoque amable y firme en la educación y por una crianza basada en el respeto mutuo. A esta nueva manera de entender la educación le llamaron crianza democrática. A finales de los años 30, sus teorías llegaron a los Estados Unidos de la mano de Rudolf Dreikurs.  
En 1988, Jane Nelsen y Lynn Lott, tras un profundo estudio de la psicología adleriana, adaptaron sus conocimientos y crearon lo que hoy en día conocemos como Disciplina Positiva. A partir de ese momento, empezaron a enseñar esta metodología educativa en clases experimentales para madres y padres así como en el aula.  
¿Qué es la disciplina positiva?  
La Disciplina Positiva es un modelo educativo basado en la psicología de Alfred Adler y Rudolf Dreikurs, dos psiquiatras austríacos del siglo XX. Años más tarde, la Dra. Jane Nelsen y Lynn Lott, dos psicólogas americanas, escriben el manual ""Disciplina Positiva. Cómo educar con firmeza y cariño"", en el cual se encargan de sistematizar el modelo y difundirlo. Sin duda, este método, usado por madres y padres, docentes, parejas y líderes empresariales, tiene como objetivo crear relaciones responsables y respetuosas en sus comunidades."
17		"Patient-Led Advocacy Group Shares Patient Perspective
No es ni permisivo ni represivo. Primero se establece una conexión antes de la corrección, porque el objetivo principal es desarrollar el sentido de pertenencia e importancia. No se centra en los castigos, sino en aportar soluciones. El tipo de motivación es intrínseca. Validas sus emociones. Los haces confiar en sus capacidades.  
Hay normas, consecuencias y respeto  
Normas: Debemos enseñarle previamente que significa la norma y para qué hay que aplicarla. El niño se siente involucrado por lo que incrementa su sentido de pertenencia. Si le permito que sea el quien aplique esas normas de forma autónoma, le estoy transmitiendo mi confianza, lo que incrementa su sentido de importancia. Comienza a asumir responsabilidades.  
Respeto: Educar con miedo a un niño no es sinónimo de inculcar respeto y valores, probablemente llegará a la edad adulta y exigirá lo mismo o infundirá temor como lo hicieron con él.  
Consecuencias: Resultado de nuestros actos. Evalúa nuestra conducta. No significa un castigo.  
Autoritarismo = menos respeto para el niño Permisividad = menos respeto para mi. Es equilibrar la balanza entre autoritarismo y permisividad tratar con cariño y dignidad. Para que los limites sean eficaces se necesita: ser firmes y concisos: sin gritos con firmeza y sin entrar en explicaciones. Ser constantes: aunque estés cansado o estresado, los limites deben ser eficaces y claros cada día. Las acciones tienen consecuencias se pierde la credibilidad al no cumplir los límites, no tienen consecuencias. Ser ejemplo: enseñar a través de nuestro comportamiento, ellos no aprenden por lo que decimos, sino por lo que hacemos. Dedicarles el tiempo necesario: cariño y límites deben ir de la mano, jugar con ellos al menos 15 minutos al día."
18		"Patient-Led Advocacy Group Shares Patient Perspective
Tipos de consecuencias:  
Dos tipos de consecuencias las lógicas y naturales. En las lógicas interviene un adulto y en las naturales permite aprender de los errores. Condiciones de las consecuencias lógicas.  
Aquí y ahora, no lo que el niño(a) hizo ayer o la semana pasada. Su aplicación debe hacerse de manera tranquila, respetuosa y sin causar dolor, vergüenza o humillación al niño(a). Revelación anticipada. Es fundamental que en la medida de lo posible, anticipes a tus hijo(a)s las cosas que sucederán cuando se saltan las reglas.  
Estilos educativos:  
Autoritario Negligente Democrático Permisivo  
Diferencia entre motivar y elogiar.  
Motivación es a partir de los 4 años, debido a que existe un nivel de maduración, Existe una conexión, Predica con el ejemplo, Destacar las cualidades del niñx,Hacerle entender el proceso de aprendizaje, El error es una prueba de aprendizaje, la autoestima se desarrolla, reflexiona sobre su comportamiento. Elogiar es controlar. Puede ser positivo como negativo.  
¿Qué hay detrás del mal comportamiento?  
La cima del iceberg, lo que es visible el mal comportamiento y lo no visible que hay detrás de este comportamiento. ¿Por qué no debemos utilizar el muy bien como muletilla?  
Se vuelven adictos a la aprovacion. Actuan movidos por el premio. No permitimos que reflexionen ante sus actos.  
Consecuencias del castigo:"
19		"Patient-Led Advocacy Group Shares Patient Perspective
Se vuelven adictos a la aprovacion. Actuan movidos por el premio. No permitimos que reflexionen ante sus actos.  
Consecuencias del castigo:  
Dificulta la comunicación Deteriora el autoestima Fomenta el conformismo y la agresividad Genera inseguridad Dificulta el autoconocimiento y respeto por uno mismo. Desarrolla comportamientos sumisos y víctimas. El niño o niña actúa por temor a las represalias Las investigaciones en psicología han demostrado que el castigo actúa sobre el comportamiento inmediato pero no modifica la conducta a largo plazo.  
4 rs del castigo: Resentimiento, revancha, rebeldía y retraimiento  
Corregir dando calidez y estructura. La calidez se aprecia con el lado derecho del cerebro, este es el lado del afecto y la estructura con el lado izquierdo, fomentar las normas, escuchar, explicar razones claramente.  
Es mejor conectar con el niño o niña. Primero se validan las emociones Ten en cuenta el contacto físico, tono de voz, expresión facial, empatía, hacer pausas Para buscar soluciones utiliza palabras, planificaciones, explicaciones lógicas  
Comportamientos que como adultos debemos evitar:  
Golpearlo Gritarle Mandarlo a otro lado Criticarlo Decirle que ya no lo quieres Decirle que es un niño malo Amenazarlo Humillarlo  
Chiozza, 1995  
""Lo que se presenta en el cuerpo como un aumento del tejido adiposo, es decir, una alteración somática, es, en el alma, un drama inconsciente"""
20		"Patient-Led Advocacy Group Shares Patient Perspective
Chiozza, 1995  
""Lo que se presenta en el cuerpo como un aumento del tejido adiposo, es decir, una alteración somática, es, en el alma, un drama inconsciente""  
Con motivo del día mundial contra la obesidad que tuvo lugar, el pasado 4 de marzo, y entendiendo que México ocupa el primer lugar a nivel mundial en obesidad infantil y el segundo lugar en población adulta. Psique & Ser se suma a la campaña de concientización bajo el lema: “Cambiando las perspectivas: hablemos sobre la obesidad"".  
Como bien sabemos, la obesidad es una enfermedad crónica que se caracteriza por el aumento de grasa corporal, que es asociada a un riesgo latente para la salud. Además, que la causa principal obedece a un desequilibrio energético entre las calorías que se consumen y las que se gastan. Sin embargo, si alguna vez has intentado bajar de peso, te habrás dado cuenta que para resolver la ecuación y bajar de peso, hay muchas otras variables a despejar. De lo contrario, su tratamiento sería mucho más sencillo.  
En primer lugar, la obesidad está directamente vinculada al acto de comer, y el alimentarnos, va mucho más allá de solo ser un acto. Comer no solo obedece a una necesidad imprescindible para poder sobrevivir, sino que también es un medio que nos convoca al placer y al gozo.  
Y ¿Por qué gozamos cuándo comemos? Porque el acto de comer se inicia en la boca, y la boca es un órgano multitareas: Según Freud en su teoría de desarrollo psicosexual, la boca es una zona erógena. Entonces, la boca no solo da lugar a la digestión, la boca es un órgano que nos permite sentir placer y que, además, interviene en nuestras relaciones amorosas, porque la boca se usa para besar y también se usa para…hablar. Y para lo que se te ocurra; para eso también."
21		"Patient-Led Advocacy Group Shares Patient Perspective
Por otro lado, el comer se abraza con el deseo. Si bien es cierto que todos comemos, no todos comemos lo mismo. Cada uno come lo que le gusta, comemos lo que se nos antoja y no necesariamente lo que nos nutre. ¿Te suena?  
Y si le seguimos, te tengo otra noticia: La comida nunca es solo comida, es también un vehículo por el cual cuando éramos muy pequeños, fuimos dotados de nuestra primera despensa afectiva. Como recién nacidos, al ser amamantados, más que nutrientes, obtenemos sensaciones de sentirnos amados, cuidados y protegidos (en el mejor de los casos). Esa despensa de afectos, aquel acercamiento, dejará una huella como sello personal que nos acompañará toda la vida y fundará nuestra relación con la comida. Posteriormente, utilizaremos la comida no solo para cubrir una necesidad biológica sino para evocar nuestros deseos vitales, deseos que se inscriben en nuestro mundo interno, en nuestro psiquismo, en nuestra subjetividad. Alimentarnos entonces, será una forma de saciar y paliar nuestras necesidades psíquicas más profundas, en una suerte de compensar, con falta o con excesos de comida.  
Entonces, si toda la cuestión para bajar de peso se sostuviera en solo saber cómo, cuánto, qué comer y qué no comer. Sería mucho más fácil y nadie tendría obesidad. Sin embargo, la obesidad es una enfermedad multifactorial, compleja, que se anuda y se desanuda como un tejido entre la alimentación y los afectos. Entre lo psíquico y lo somático. Por ende, su abordaje implica un seguimiento multidisciplinario."
22		"Patient-Led Advocacy Group Shares Patient Perspective
La amistad es un valor universal sin el cual una persona difícilmente podrá sobrevivir. El adolescente, necesita a alguien de su misma edad para compartir la pesada carga de todas las dudas que le surgen constantemente. Ha de ser alguien que él vea como un igual, con sus mismos problemas e inquietudes.  
La amistad es más intensa en la adolescencia que en otra época de la vida. En la adolescencia, los amigos son más íntimos y se apoyan más que a edades anteriores; también exigen una mayor lealtad, compiten menos entre sí y comparten más con sus amigos que los niños. Estos cambios se deben en parte a su mayor desarrollo cognitivo.  
El amor es uno de los sentimiento más universales y permanentes en el ser humano. Está presente en todas las edades, razas, culturas y países. Con este descubrimos el amor incondicional de la familia y poco a poco vamos sintiendo y experimentando otros tipos de amor a lo largo de la vida. La adolescencia tiene un papel muy importante en el amor, ya que es cuando hace presencia, por primera vez, el sentimiento hacia otra persona de manera más intensa como pareja.  
Las hormonas, que tanta revolución y conflicto provocan en esta edad, a nivel conductual, van a hacer sentir las primeras mariposas en el estómago a nivel emocional, es decir empiezan a descubrir su primer enamoramiento que no es lo mismo que el amor.  
El enamoramiento es la primera etapa del amor. Es muy intenso y pasional.  
Tanto es así que, en el momento que se vive, parece que nunca va a poder acabar. Pero es una etapa que acabará con el amor o el desamor. No se puede estar eternamente viviendo en la fase del enamoramiento, sino que cuando este enamoramiento se va estabilizando y madurando acaba cogiendo una forma más serena y duradera convirtiéndose en Amor."
23		"Patient-Led Advocacy Group Shares Patient Perspective
En la etapa de la adolescencia es cuando se empieza a experimentar el enamoramiento y es más difícil que llegue a convertirse en un amor verdadero. Se suelen vivir muchos enamoramientos en breves espacios de tiempo, incluso varios enamoramientos a la vez.  
Nova Argentina 1960.  
""..el hombre (5) “Privado de su anclaje trascendente inventará la religión, la filosofía, la política, con el objeto de recuperar la seguridad perdida. Gusdorf, George. “Mito y Metafísica""  
Cuántas veces no hemos escuchado o aplicado la frase “Año nuevo, vida nueva”. Y es que dicha frase, y muchas otras, devienen de nuestra naturaleza humana, ya que tendemos a plantearnos ciclos en las actividades o rutinas que establecemos. Y cómo no hacerlo si estamos inmersos en un ciclo de vida que tiene un principio y un final. Para muchos, los ciclos fungen como un corte proveniente del interior que nos orilla a detener, pensar y tomar decisiones para mejorar o perfeccionar nuestra estabilidad y actuar en un futuro. Para otros, es un corte externo-obligado con la intención de encontrar elementos ajenos a uno que nos ayuden a asegurar que las decisiones fueron acertadas o fortuitas. Podemos resumir esto como: personas que crean y forjan su propio año, y personas que depositan en elementos o rituales externos sus acciones venideras. Se plasma en dos polos para que el tema de los rituales de inicio de año y sus efectos en nuestra psique tenga un mayor impacto y sea más didáctico. No con esto eximo que existan sujetos que oscilan entre ambas o más posturas."
